H1-O1 	H1-O2 	H1-O3 	H1-O4 	H2-O1 	H2-O2 	H2-O3 	H2-O4 	H3-O1 	H3-O2 	H3-O3 	H3-O4 	H4-O1 	H4-O2 	H4-O3 	H4-O4 	H5-O1 	H5-O2 	H5-O3 	H5-O4 	H6-O1 	H6-O2 	H6-O3 	H6-O4 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I1-H5 	I1-H6 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I2-H5 	I2-H6 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I3-H5 	I3-H6 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I4-H5 	I4-H6 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I5-H5 	I5-H6 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I6-H5 	I6-H6 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	I7-H5 	I7-H6 	
  -17	   16	   28	   20	   13	  -21	    7	  -16	   20	  -13	   -8	   14	  -11	    8	  -28	  -15	  -24	   -4	    9	    4	    9	   31	   12	    6	    4	   -1	   -9	   -7	    0	   -7	  -14	   -2	   -6	   -7	    5	   -3	   10	   -6	    9	    8	   -2	   -6	   -5	   -1	   11	    3	   -2	   -4	   -4	    8	  -11	    2	   -4	    8	    0	    7	  -11	   12	   -9	    4	    3	   -4	    6	  -10	    4	    5	
  -17	   16	   27	   19	   12	  -21	    7	  -16	   18	  -13	   -7	   13	  -12	    8	  -28	  -15	  -23	   -3	    9	    4	    8	   31	   12	    6	    5	   -1	   -8	   -7	    0	   -7	  -14	   -1	   -6	   -7	    5	   -4	   10	   -6	    9	    8	   -3	   -7	   -4	    0	   12	    3	   -3	   -4	   -4	    8	  -11	    1	   -4	    8	   -1	    6	  -12	   11	   -9	    5	    3	   -4	    6	  -11	    4	    5	
  -17	   15	   26	   19	   12	  -21	    7	  -15	   19	  -13	   -8	   13	  -11	    9	  -27	  -15	  -23	   -3	    9	    3	    9	   29	   12	    6	    4	   -1	   -8	   -7	    0	   -7	  -13	   -2	   -6	   -7	    4	   -3	   10	   -6	    9	    9	   -2	   -6	   -5	   -1	   11	    3	   -2	   -3	   -4	    7	  -10	    2	   -4	    7	   -1	    7	  -11	   11	   -9	    4	    2	   -3	    5	  -10	    4	    5	
  -16	   15	   26	   18	   12	  -20	    6	  -15	   17	  -13	   -7	   12	  -10	    8	  -27	  -15	  -23	   -3	    9	    4	    8	   30	   12	    6	    5	   -1	   -7	   -6	    0	   -7	  -13	   -1	   -6	   -6	    5	   -4	   10	   -6	    8	    7	   -2	   -6	   -4	    0	   11	    3	   -2	   -4	   -3	    8	  -11	    2	   -4	    8	    0	    6	  -10	   11	   -9	    4	    3	   -4	    6	   -9	    4	    5	
  -16	   15	   26	   18	   11	  -20	    7	  -15	   18	  -12	   -7	   12	  -11	    7	  -26	  -14	  -22	   -3	    8	    3	    8	   28	   12	    6	    4	   -1	   -8	   -7	    0	   -7	  -13	   -2	   -5	   -7	    5	   -3	    9	   -5	    9	    8	   -1	   -5	   -5	   -1	   11	    3	   -2	   -3	   -4	    7	  -10	    1	   -4	    7	   -1	    6	  -11	   11	   -8	    4	    2	   -4	    5	  -10	    4	    4	
  -15	   14	   24	   18	   12	  -19	    6	  -14	   17	  -12	   -7	   12	  -10	    8	  -26	  -14	  -21	   -3	    8	    3	    8	   28	   11	    6	    4	    0	   -7	   -6	    0	   -6	  -12	   -1	   -6	   -6	    4	   -3	   10	   -6	    8	    8	   -2	   -6	   -4	    0	   10	    2	   -2	   -4	   -3	    7	   -9	    2	   -3	    7	   -1	    7	  -11	   10	   -8	    4	    3	   -3	    5	   -9	    3	    5	
  -15	   14	   25	   17	   11	  -19	    6	  -14	   17	  -12	   -7	   12	  -10	    8	  -25	  -13	  -22	   -3	    8	    3	    8	   27	   11	    6	    4	   -1	   -8	   -7	    0	   -7	  -12	   -2	   -5	   -6	    5	   -4	    9	   -5	    8	    7	   -2	   -6	   -4	   -1	   10	    3	   -3	   -3	   -4	    7	  -10	    1	   -4	    7	    0	    5	  -10	   10	   -8	    4	    2	   -3	    5	   -9	    4	    5	
  -15	   14	   23	   17	   10	  -18	    6	  -14	   16	  -12	   -6	   12	  -10	    7	  -24	  -14	  -20	   -3	    8	    4	    7	   26	   10	    5	    4	   -1	   -7	   -6	   -1	   -6	  -12	   -1	   -5	   -6	    4	   -3	    9	   -6	    7	    7	   -2	   -5	   -4	    0	   10	    3	   -2	   -3	   -3	    6	   -9	    2	   -3	    7	   -1	    6	  -10	   10	   -8	    4	    2	   -4	    5	   -9	    4	    4	
  -15	   13	   23	   17	   11	  -18	    6	  -14	   16	  -11	   -7	   11	  -10	    7	  -25	  -13	  -21	   -2	    8	    3	    8	   27	   11	    6	    4	   -1	   -7	   -6	    0	   -6	  -12	   -1	   -5	   -6	    4	   -3	    9	   -5	    8	    7	   -2	   -6	   -4	   -1	   10	    2	   -2	   -4	   -3	    7	   -9	    1	   -4	    7	   -1	    6	  -10	   10	   -8	    4	    3	   -3	    5	   -9	    3	    5	
  -14	   13	   23	   16	   10	  -18	    6	  -13	   16	  -11	   -6	   11	   -9	    7	  -23	  -13	  -19	   -3	    8	    3	    7	   25	   10	    5	    4	   -1	   -6	   -6	    0	   -6	  -11	   -2	   -5	   -6	    5	   -3	    8	   -5	    7	    7	   -2	   -5	   -4	   -1	   10	    3	   -2	   -3	   -4	    6	   -9	    1	   -3	    7	    0	    5	   -9	    9	   -8	    4	    2	   -3	    5	   -9	    3	    4	
